Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
30-05-2022,1487,1530,1485,1526.8,16563555828,251321,10904213
27-05-2022,1443.95,1467,1437.4,1461.35,12029156202,213654,8284860
26-05-2022,1418,1430,1407.05,1423.95,18504582626,305186,13040065
25-05-2022,1435,1442.5,1399.25,1410.45,13664990145,262121,9630092
24-05-2022,1468.6,1469.55,1435.25,1441,8236426021.4,176635,5693167
23-05-2022,1455.1,1488,1450.05,1468.4,8678630195,194715,5887569
20-05-2022,1453,1466.75,1446.7,1455.15,15279529310,266730,10488908
19-05-2022,1481,1484.7,1417.65,1427.15,23807174900,659166,16561140
18-05-2022,1522,1549.7,1505.3,1509.2,10061219716,200417,6594126
17-05-2022,1494.9,1525,1480.9,1518.45,9829715301,228982,6516378
16-05-2022,1510,1511.85,1478.65,1489.1,9167743367,253982,6145331
13-05-2022,1519.3,1529.25,1498.1,1504.4,10193367340,203286,6723761
12-05-2022,1514,1527.5,1504.3,1508.8,10653003625,242670,7034979
11-05-2022,1549.95,1549.95,1511.6,1526.75,11966677214,291699,7846080
10-05-2022,1558,1569.15,1546.05,1553,9685176738,214384,6212545
09-05-2022,1540,1586.8,1522.15,1570.35,10698465307,265549,6832202
06-05-2022,1550,1561.85,1535.05,1542.85,9526090605,257203,6171472
05-05-2022,1560.05,1589.4,1557.45,1585.15,9715361526,217185,6144870
04-05-2022,1547.25,1570,1530.15,1535.55,9631379025,234262,6220959
02-05-2022,1550.9,1552.75,1531,1541,10879371919,301415,7072627
29-04-2022,1590,1597.3,1560.8,1567.55,15502990988,263325,9831395
28-04-2022,1570,1601.8,1557.45,1582.6,14622527487,234468,9245177
27-04-2022,1572.75,1572.75,1550.35,1552.8,13732718004,296887,8819356
26-04-2022,1577.2,1592,1566.55,1581,8460056311,181573,5345435
25-04-2022,1572.8,1572.8,1554.1,1561.1,10930323720,394157,7000570
22-04-2022,1604.35,1610.7,1582.4,1585.45,12984469892.15,418900,8134245
21-04-2022,1595,1627.2,1589.25,1618.8,12549264894,256268,7766514
20-04-2022,1575,1596.3,1563,1587.7,16915009922,391296,10678747
19-04-2022,1636.65,1636.65,1550,1562,27096225126,763964,17044923
18-04-2022,1605.5,1650,1590,1621.4,49630097106,1443330,30523965
13-04-2022,1754.95,1757.5,1732,1748.55,10933526248,223033,6257693
12-04-2022,1757.5,1757.5,1727.75,1742.45,11242708992,268976,6456184
11-04-2022,1814,1814,1762.55,1766.55,14641918535,374415,8248407
08-04-2022,1823,1838,1808,1814.6,9347538869,171076,5131446
07-04-2022,1821.05,1828.15,1807.55,1811,10529983626,236348,5797544
06-04-2022,1855,1857.5,1822.15,1828.85,9927969801,208906,5407453
05-04-2022,1883.8,1889.6,1857.15,1861.1,10239606829,203468,5472024
04-04-2022,1889.75,1893,1873,1882.95,13877776218,287232,7364074
01-04-2022,1886.85,1910.3,1878.3,1903.55,11692698942,154230,6171518
31-03-2022,1900,1913,1894.2,1906.85,10280780471,131746,5399145
30-03-2022,1910,1919,1895,1903.95,14864126250,178770,7795839
29-03-2022,1873.9,1889.4,1860.55,1886,7348234594,115629,3917785
28-03-2022,1866,1880.9,1852.65,1873.9,7487212707,131939,4008555
25-03-2022,1892,1894,1858,1876.55,6444362804,130194,3438588
24-03-2022,1856.15,1894.6,1856.15,1886.7,7129425934,114815,3784303
23-03-2022,1897,1900,1857,1872.4,11631503050,161491,6192824
22-03-2022,1850,1890,1839,1887.4,10697206781,202175,5709382
21-03-2022,1861,1886.9,1841.1,1853.05,15542599266,171756,8362085
17-03-2022,1923.3,1923.3,1833.05,1854.6,33153300057,251465,17731459
16-03-2022,1865,1893.95,1849,1889.4,9812820161,154465,5233979
15-03-2022,1888.35,1888.35,1830,1839.3,13230484534,224849,7140443
14-03-2022,1831.55,1895,1831.55,1890.7,19263377771,271878,10289724
11-03-2022,1814,1831.4,1811,1822,8673758340,148439,4758657
10-03-2022,1844.75,1844.75,1810.2,1825.9,11939977607,195637,6547182
09-03-2022,1791,1831.6,1791,1813.35,18538320341,290276,10193515
08-03-2022,1718.45,1800,1718.45,1778.2,19463755937,320286,10984500
07-03-2022,1697,1751,1696,1739.85,16894926798,317768,9742588
04-03-2022,1695.25,1736,1681,1723.3,15558102518,317226,9074499
03-03-2022,1720.2,1733.9,1705.55,1720.85,12652331996,262571,7344147
02-03-2022,1710,1714.4,1691,1702.8,11532701359,301403,6771489
28-02-2022,1682.2,1728.05,1665,1715.6,25772414335,330427,15076542
25-02-2022,1715,1728.15,1677,1694.6,16543242534,305050,9737281
24-02-2022,1690.1,1714.95,1670.5,1678.15,22970021734,376409,13592379
23-02-2022,1750,1758.25,1733.4,1742.85,9547154732,191067,5478811
22-02-2022,1699.9,1751,1691.05,1734.35,15281431405,227885,8878515
21-02-2022,1701,1737.3,1691.5,1730.7,8797869134,205567,5120890
18-02-2022,1710,1722.5,1703.5,1706.95,9590289596,159019,5602215
17-02-2022,1744,1749,1720.3,1724.8,6818374504,110732,3937950
16-02-2022,1738.25,1755.45,1726.85,1733.3,9314065943,162198,5350642
15-02-2022,1699,1746.75,1690.45,1738.25,8040412171,188794,4669915
